group,geneid
gon_tissue,102090707
gon_tissue,102090713
gon_tissue,102090761
gon_tissue,102090879
gon_tissue,102090890
gon_tissue,102090953
gon_tissue,102090957
gon_tissue,102091002
gon_tissue,102091159
gon_tissue,102091233
gon_tissue,102091346
gon_tissue,102091457
gon_tissue,102091599
gon_tissue,102091602
gon_tissue,102091705
gon_tissue,102091721
gon_tissue,102091754
gon_tissue,102091791
gon_tissue,102091832
gon_tissue,102091848
gon_tissue,102091880
gon_tissue,102091998
gon_tissue,102092009
gon_tissue,102092012
gon_tissue,102092048
gon_tissue,102092200
gon_tissue,102092233
gon_tissue,102092238
gon_tissue,102092361
gon_tissue,102092453
gon_tissue,102092478
gon_tissue,102092600
gon_tissue,102092917
gon_tissue,102092929
gon_tissue,102092949
gon_tissue,102093129
gon_tissue,102093163
gon_tissue,102093216
gon_tissue,102093282
gon_tissue,102093292
gon_tissue,102093328
gon_tissue,102093362
gon_tissue,102093423
gon_tissue,102093458
gon_tissue,102093463
gon_tissue,102093472
gon_tissue,102093530
gon_tissue,102093540
gon_tissue,102093592
gon_tissue,102093604
gon_tissue,102093665
gon_tissue,102093702
gon_tissue,102093883
gon_tissue,102093968
gon_tissue,102094005
gon_tissue,102094118
gon_tissue,102094303
gon_tissue,102094364
gon_tissue,102094406
gon_tissue,102094521
gon_tissue,102094522
gon_tissue,102094525
gon_tissue,102094601
gon_tissue,102094674
gon_tissue,102094699
gon_tissue,102094852
gon_tissue,102094954
gon_tissue,102095056
gon_tissue,102095085
gon_tissue,102095197
gon_tissue,102095372
gon_tissue,102095385
gon_tissue,102095447
gon_tissue,102095460
gon_tissue,102095563
gon_tissue,102095570
gon_tissue,102095713
gon_tissue,102095736
gon_tissue,102095912
gon_tissue,102095924
gon_tissue,102095964
gon_tissue,102096060
gon_tissue,102096214
gon_tissue,102096260
gon_tissue,102096262
gon_tissue,102096306
gon_tissue,102096311
gon_tissue,102096363
gon_tissue,102096391
gon_tissue,102096475
gon_tissue,102096561
gon_tissue,102096563
gon_tissue,102096576
gon_tissue,102096642
gon_tissue,102096679
gon_tissue,102096685
gon_tissue,102096700
gon_tissue,102096706
gon_tissue,102096719
gon_tissue,102096820
gon_tissue,102096831
gon_tissue,102096910
gon_tissue,102096965
gon_tissue,102097028
gon_tissue,102097267
gon_tissue,102097281
gon_tissue,102097440
gon_tissue,102097458
gon_tissue,102097512
